z,median_bh_mass,median_stellar_mass
24.541479362484676,100000.0,4335.439208593731
24.041945258307663,106312.566013463,4678.094253298677
23.551927326295115,113229.8833413759,5047.530206532884
23.071444045928317,120829.25893193776,5453.860252273765
22.600490890210516,129190.82308416576,5897.925102529657
22.138507103521682,138405.614831115,6389.357729044366
21.686025408348456,148587.74203929398,6915.091222712144
21.24199288256228,159858.05989851727,7498.246547887873
20.80692151688946,172367.2663055308,9103.728135823767
20.380313007782433,186277.28390705728,11021.506096087991
19.962163295252072,201774.40986362286,13779.305140816086
19.552027457508682,219089.67622131933,16966.623836898
19.149915370355444,238476.03837916703,20816.199431039888
18.75581808842704,260246.51522310136,25645.817678505697
18.36933446966762,284748.1876627643,32480.974650945405
17.99046678567359,312410.08409593895,41334.4325994083
17.618853451004487,343686.9343025127,58429.36773204846
17.25450429893576,379224.4317361797,85294.34019349937
16.89741203421985,419640.90212098125,119751.46619401588
16.54724595974662,465797.68343663623,170025.3437983356
16.204005092385508,518653.1970852706,247229.5429642445
15.867388590898358,579347.7877343494,348526.2762104047
15.537399328581586,649349.4742724156,480821.26803898625
15.21376224139049,730269.0574967037,579249.5684993106
14.896734810669887,824162.7110473621,701202.4305879604
14.58554907889405,933614.5827466898,846721.539794422
14.280706579872254,1061449.7749232277,1015412.7426341776
13.98172229879547,1211565.3421678634,1211666.7009399813
13.688601645123384,1359391.0749185667,1461637.0266466832
13.401336444022006,1473350.264283999,1727477.393200649
13.119507511577996,1695242.7102027994,2055086.9234708976
12.843321289643812,1958835.4399625857,2441712.0023419578
12.572572545400256,2273183.4404963423,2871471.469851795
12.306896964696804,2649790.516372601,3355805.7224914115
12.046654837699615,3103136.623429601,3889065.4174407246
11.791322366906291,3651200.0790369045,4578693.668240318
11.541072010835485,3915165.342019544,5307728.381354406
11.29573706795854,4574023.963498406,6222703.947675926
11.055164432442858,5435610.0300037665,7189625.894440195
10.819353008616309,6493383.266766869,8164266.997595947
10.588156903644476,7797619.0732425535,9301341.414754834
10.361441539702557,9281048.599348536,10741709.760964042
10.139206665701268,10421985.048859935,12293188.213465875
9.921203516627534,12093468.711756172,14077250.012455901
9.707555250985095,14772638.534048315,16088087.564136583
9.498026371042245,18153574.083030745,18135053.95020335
9.292725101897977,22436102.931596093,20619788.86169458
9.091326504869064,25397863.898477428,23708873.147030294
8.893936995409213,29494138.459531646,26885366.87279533
8.700356003065313,36944971.33969085,30208458.33819692
8.510585281418217,46588928.79810311,33958346.81585804
8.324530976091902,59163850.274789765,38104293.18513154
8.142104878227164,68119535.9158652,42425282.55449694
7.963223892369607,79772225.47038524,47019017.92262681
7.787886776866767,102781220.7942483,51486433.26528608
7.615936035290874,127211054.07166123,56375288.33431004
7.447372867038352,142501877.26806512,61377147.87750318
7.282122210995345,183789927.89799827,65537955.37208228
7.120046771469404,225736091.7700822,70785845.33090737
6.961212970408171,254783285.61734518,75922789.24120763
6.805487257542052,324100219.6818459,81249488.22723624
6.652748867393167,355652593.67048347,86816460.45982039
6.503057495929591,477057616.7213603,93659946.20045686
6.356240666769653,645624418.6511035,99520471.1152047
6.21235331876438,731802811.0749185,107463053.39578086
6.0712356277135875,775819055.374593,113540924.40691006
5.932889628397116,821495140.0651467,120841376.87250893
5.797264780652266,869397801.3029315,129132419.80778581
5.664267530355739,920433342.0195441,138491511.35597932
5.53389786210862,977801921.8241043,149974577.89489555
5.406067827446157,1039129739.4136809,162635099.54080227
5.280736353530088,1106565009.771987,174285585.2415768
5.1578629752330745,1181220625.4071662,189098763.38535136
5.037371328523561,1275068491.8566775,207395698.4564922
4.919261276192731,1335945928.3387623,210898660.0528697
